date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:29:01	127/127	---MCZ	200	added ('OK')	text/plain	date:Fri,%2017%20Jul%202026%2014:29:01%20GMT	https://ui-themez.smartinnovates.net/robots.txt		(from )
20:29:02	6685/6685	---M-Z	200	added ('OK')	text/html	etag:%221a1d-63a7dd9ef0673-gzip%22	https://ui-themez.smartinnovates.net/items/daniels/	C:/Users/HP/Desktop/portfolio/AKB%20portfolio/ui-themez.smartinnovates.net/items/daniels/index.html	(from )
20:29:02	318/318	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22687f20b4-13e%22	https://ui-themez.smartinnovates.net/items/daniels/img/favicon.ico	C:/Users/HP/Desktop/portfolio/AKB%20portfolio/ui-themez.smartinnovates.net/items/daniels/img/favicon.ico	(from https://ui-themez.smartinnovates.net/items/daniels/)
20:29:03	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%22687f214d-1d970%22	https://ui-themez.smartinnovates.net/items/daniels/css/bootstrap.min.css	C:/Users/HP/Desktop/portfolio/AKB%20portfolio/ui-themez.smartinnovates.net/items/daniels/css/bootstrap.min.css	(from https://ui-themez.smartinnovates.net/items/daniels/)
20:29:03	3228/3228	---MCZ	200	added ('OK')	text/css	etag:W/%22687f214d-c9c%22	https://ui-themez.smartinnovates.net/items/daniels/css/owl.carousel.min.css	C:/Users/HP/Desktop/portfolio/AKB%20portfolio/ui-themez.smartinnovates.net/items/daniels/css/owl.carousel.min.css	(from https://ui-themez.smartinnovates.net/items/daniels/)
20:29:04	1003/1003	---MCZ	200	added ('OK')	text/css	etag:W/%22687f214d-3eb%22	https://ui-themez.smartinnovates.net/items/daniels/css/owl.theme.default.min.css	C:/Users/HP/Desktop/portfolio/AKB%20portfolio/ui-themez.smartinnovates.net/items/daniels/css/owl.theme.default.min.css	(from https://ui-themez.smartinnovates.net/items/daniels/)
20:29:04	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%22687f214d-1b27%22	https://ui-themez.smartinnovates.net/items/daniels/css/magnific-popup.css	C:/Users/HP/Desktop/portfolio/AKB%20portfolio/ui-themez.smartinnovates.net/items/daniels/css/magnific-popup.css	(from https://ui-themez.smartinnovates.net/items/daniels/)
20:29:04	16952/16952	---MCZ	200	added ('OK')	text/css	etag:W/%22687f214d-4238%22	https://ui-themez.smartinnovates.net/items/daniels/css/animate.min.css	C:/Users/HP/Desktop/portfolio/AKB%20portfolio/ui-themez.smartinnovates.net/items/daniels/css/animate.min.css	(from https://ui-themez.smartinnovates.net/items/daniels/)
20:29:05	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22687f214d-7918%22	https://ui-themez.smartinnovates.net/items/daniels/css/font-awesome.min.css	C:/Users/HP/Desktop/portfolio/AKB%20portfolio/ui-themez.smartinnovates.net/items/daniels/css/font-awesome.min.css	(from https://ui-themez.smartinnovates.net/items/daniels/)
20:29:05	7067/7067	---MCZ	200	added ('OK')	text/css	etag:W/%22687f214d-1b9b%22	https://ui-themez.smartinnovates.net/items/daniels/css/et-line.css	C:/Users/HP/Desktop/portfolio/AKB%20portfolio/ui-themez.smartinnovates.net/items/daniels/css/et-line.css	(from https://ui-themez.smartinnovates.net/items/daniels/)
20:29:05	20132/20132	---MCZ	200	added ('OK')	text/css	etag:W/%22687f214d-4ea4%22	https://ui-themez.smartinnovates.net/items/daniels/css/style.css	C:/Users/HP/Desktop/portfolio/AKB%20portfolio/ui-themez.smartinnovates.net/items/daniels/css/style.css	(from https://ui-themez.smartinnovates.net/items/daniels/)
